Name,PlayerId
Vidal Bruján,20536
Johan Rojas,24336
Jason Delay,19806
Blake Perkins,19921
Charles Leblanc,19813
Oswaldo Cabrera,21707
Tyler Heineman,13897
Jose Barrero,23378
Jake Alu,25569
Tucupita Marcano,22871
Ernie Clement,20352
Bubba Thompson,22261
David Villar,24782
Nick Pratto,22117
Dominic Canzone,26438
Jake Burger,22275
Tyler Nevin,17893
Elehuris Montero,20543
Jonah Bride,24703
Michael Massey,27684
Josh Lowe,19953
Cooper Hummel,19458
Endy Rodríguez,25332
Seby Zavala,18887
Brian Serven,19422
Nelson Velázquez,23359
Jared Triolo,25807
José Azocar,18821
Ezequiel Duran,23733
Jarren Duran,24617
Sal Frelick,29622
Jordan Westburg,27815
P.J. Higgins,18433
Cal Mitchell,22169
JJ Bleday,26368
Joey Meneses,14366
Nick Fortes,21538
Christian Encarnacion-Strand,30011
Vimael Machín,17684
Josh Smith,26396
Luis Matos,26467
Henry Davis,29617
TJ Friedl,19522
Cristian Pache,19948
Oscar Colás,30162
Juan Yepez,18400
Casey Schmitt,27577
Kyle Isbel,21614
Rodolfo Castro,21987
José Caballero,23401
Diego A. Castillo,19906
Alfonso Rivas III,21560
Joey Bart,21524
Sheldon Neuse,19635
Vinnie Pasquantino,27676
Zack Gelof,29766
CJ Abrams,25768
Nolan Gorman,22263
Andruw Monasterio,19455
Corey Julks,20311
Jose Siri,17452
Nick Allen,22277
Zach Neto,31347
Jordan Diaz,22650
Blake Sabol,25805
Gilberto Celestino,20233
Lars Nootbaar,21454
Luis González,20332
Patrick Bailey,27478
Miguel Vargas,20178
Jake McCarthy,21622
Stone Garrett,19273
Matt Vierling,21558
Emmanuel Rivera,19890
Oneil Cruz,21711
Stuart Fairchild,20321
Jack Suwinski,22244
Oscar Gonzalez,20970
Yainer Diaz,23003
Will Benson,21853
Alec Burleson,27615
Gabriel Arias,22563
Matt McLain,29695
Spencer Torkelson,27465
Ji Hwan Bae,23818
Edouard Julien,27534
Joey Wiemer,27690
Alek Thomas,23792
Riley Greene,25976
Christopher Morel,21897
Elly De La Cruz,26668
Brenton Doyle,25479
Brett Baty,26123
Keibert Ruiz,19610
Francisco Alvarez,26121
Michael Harris II,25931
Drew Waters,20505
Seiya Suzuki,30116
Brice Turang,22186
Gabriel Moreno,22664
Connor Wong,19896
Jordan Walker,27475
Bryson Stott,26294
Brendan Donovan,24679
Adley Rutschman,26288
Luke Raley,19354
Jose Miranda,20538
Ryan Noda,23312
Geraldo Perdomo,22799
Will Brennan,25660
Nolan Jones,20529
Esteury Ruiz,21780
MJ Melendez,22197
Maikel Garcia,22715
Jeremy Peña,21636
Julio Rodríguez,23697
Alex Call,19296
Kerry Carpenter,25961
Masataka Yoshida,31837
James Outman,24770
Triston Casas,22514
Anthony Volpe,27647
Josh Jung,26299
Bobby Witt Jr.,25764
Steven Kwan,24610
Ezequiel Tovar,24064
Gunnar Henderson,26289
Corbin Carroll,25878
Spencer Steer,26323
